smiles,compound,flashpoint,source,pure substance
CC(C)C(C(C)C)C,"2,3,4-trimethylpentane",273.0,carroll11,1
CC(C)C(CC)(C)C,"2,3,3-trimethylpentane",278.0,carroll11,1
C(C)C(C(C)C)CC,3-ethyl-2-methylpentane,276.0,carroll11,1
CC(C)C(CCC)C,"2,3-dimethylhexane",278.0,carroll11,1
CC(CC)C(CC)C,"3,4-dimethylhexane",279.0,carroll11,1
CC(CCC)CCC,4-methylheptane,278.0,carroll11,1
C(C)C(CC)(CC)C,3-ethyl-3-methylpentane,276.0,carroll11,1
C(C)C(CC)CCC,3-ethylhexane,278.0,carroll11,1
C1CCCCCC1,cycloheptane,279.0,carroll11,1
C[C@@H]1CC[C@H](CC1)C,"trans-1,4-dimethylcyclohexane",279.0,carroll11,1
C[C@@H]1C[C@@H](CCC1)C,"cis-1,3-dimethylcyclohexane",279.0,carroll11,1
CC1(CCCCC1)C,"1,1-dimethylcyclohexane",280.0,carroll11,1
CC(C)(CC(C)(C)C)C,"2,2,4,4-tetramethylpentane",279.0,carroll11,1
C(C)C1(CCCC1)C,1-ethyl-1-methylcyclopentane,279.0,carroll11,1
CC(C)(CCC(C)C)C,"2,2,5-trimethylhexane",286.0,carroll11,1
C[C@@H]1C[C@H](CCC1)C,"trans-1,3-dimethylcyclohexane",281.0,carroll11,1
C[C@@H]1CC[C@@H](CC1)C,"cis-1,4-dimethylcyclohexane",279.0,carroll11,1
C(C)(C)C1CCCC1,isopropylcyclopentane,287.0,carroll11,1
CC(C)(CC(CC)C)C,"2,2,4-trimethylhexane",286.0,carroll11,1
C[C@H]1[C@H](CCCC1)C,"cis-1,2-dimethylcyclohexane",285.0,carroll11,1
CC(C)CC(CC)(C)C,"2,4,4-trimethylhexane",288.0,carroll11,1
CC(C)C(CC(C)C)C,"2,3,5-trimethylhexane",288.0,carroll11,1
C(CC)C1CCCC1,propylcyclopentane,289.0,carroll11,1
C(C)C1CCCCC1,ethylcyclohexane,291.0,carroll11,1
CC(C)(C(C(C)C)C)C,"2,2,3,4-tetramethylpentane",284.0,carroll11,1
CC(C)CC(CCC)C,"2,4-dimethylheptane",288.0,carroll11,1
CC(C)(CCCCC)C,"2,2-dimethylheptane",297.0,carroll11,1
C(C)C(C(C)(C)C)CC,"3-ethyl-2,2-dimethylpentane",286.0,carroll11,1
CC(C)(C(CCC)C)C,"2,2,3-trimethylhexane",288.0,carroll11,1
CC(CCC)(CCC)C,"4,4-dimethylheptane",288.0,carroll11,1
CC(C)CCC(CC)C,"2,5-dimethylheptane",288.0,carroll11,1
CC(C)CCCC(C)C,"2,6-dimethylheptane",299.0,carroll11,1
CC(CC)CC(CC)C,"3,5-dimethylheptane",288.0,carroll11,1
C(C)C(C(C)C)C(C)C,"3-ethyl-2,4-dimethylpentane",288.0,carroll11,1
CC(C)(CCC(C)(C)C)C,"2,2,5,5-tetramethylhexane",289.0,carroll11,1
CC(C)C(CCC)(C)C,"2,3,3-trimethylhexane",288.0,carroll11,1
CC(C)C(C(CC)C)C,"2,3,4-trimethylhexane",288.0,carroll11,1
CC(C)C(C(C)C)(C)C,"2,3,3,4-tetramethylpentane",284.0,carroll11,1
CC(C)C(CCCC)C,"2,3-dimethylheptane",288.0,carroll11,1
CC(C)(C(CC)(C)C)C,"2,2,3,3-tetramethylpentane",289.0,carroll11,1
C(C)C(CCC)CCC,4-ethylheptane,288.0,carroll11,1
C(C)C(CC)C(CC)C,3-ethyl-4-methylhexane,288.0,carroll11,1
CC(CC)C(CCC)C,"3,4-dimethylheptane",288.0,carroll11,1
CC(CC)(C(CC)C)C,"3,3,4-trimethylhexane",288.0,carroll11,1
C(C)C(C(C)C)(CC)C,"3-ethyl-2,3-dimethylpentane",288.0,carroll11,1
CC(CCC)CCCC,4-methyloctane,295.0,carroll11,1
C(C)C(CC)(CC)CC,"3,3-diethylpentane",294.0,carroll11,1
CC(C)CC(CC(C)C)C,"2,4,6-trimethylheptane",304.0,carroll11,1
C1CCCCCCC1,cyclooctane,301.0,carroll11,1
CC(C)(CC(CC)(C)C)C,"2,2,4,4-tetramethylhexane",304.0,carroll11,1
CC(C)(CCCCCC)C,"2,2-dimethyloctane",304.0,carroll11,1
CC(C)(C(C(CC)C)C)C,"2,2,3,4-tetramethylhexane",304.0,carroll11,1
C(C)(C)C1CCCCC1,isopropylcyclohexane,308.0,carroll11,1
CC(CC)(CC(CC)C)C,"3,3,5-trimethylheptane",304.0,carroll11,1
CC(C)C(C(C(C)C)C)C,"2,3,4,5-tetramethylhexane",304.0,carroll11,1
C(CC)C1CCCCC1,propylcyclohexane,304.0,carroll11,1
C(CCC)C1CCCC1,butylcyclopentane,305.0,carroll11,1
C(C)C(CC)CC(CC)C,3-ethyl-5-methylheptane,304.0,carroll11,1
CC(C)CCCC(CC)C,"2,6-dimethyloctane",307.0,carroll11,1
C(C)C(C(C)(C)C)CCC,"3-ethyl-2,2-dimethylhexane",311.0,carroll11,1
CC(CC)CC(CCC)C,"3,5-dimethyloctane",314.0,carroll11,1
CC(C)(C(CCC)(C)C)C,"2,2,3,3-tetramethylhexane",304.0,carroll11,1
CC(CC)(CCCCC)C,"3,3-dimethyloctane",314.0,carroll11,1
CC(C)C(C(CC)(C)C)C,"2,3,4,4-tetramethylhexane",304.0,carroll11,1
C(CC)C(CCC)CCC,4-propylheptane,308.0,carroll11,1
C(C)C(CCC)CCCC,4-ethyloctane,314.0,carroll11,1
CC(CC)C(C(CC)C)C,"3,4,5-trimethylheptane",304.0,carroll11,1
CC(C)C(CCCCC)C,"2,3-dimethyloctane",309.0,carroll11,1
C(C)C(CC)(CCCC)C,3-ethyl-3-methylheptane,314.0,carroll11,1
CC(C)C(C(CC)C)(C)C,"2,3,3,4-tetramethylhexane",304.0,carroll11,1
CC(CCCC)CCCC,5-methylnonane,310.0,carroll11,1
CC(CCC)CCCCC,4-methylnonane,311.0,carroll11,1
C(C)C(C(CC)C)CCC,4-ethyl-3-methylheptane,314.0,carroll11,1
C(C)C(C(C)C)(C(C)C)C,"3-ethyl-2,3,4-trimethylpentane",304.0,carroll11,1
CC(CC)(C(CC)(C)C)C,"3,3,4,4-tetramethylhexane",304.0,carroll11,1
C(C)(C)(C)C1CCCCC1,tert-butylcyclohexane,313.0,carroll11,1
C1CCCCCCCC1,cyclononane,316.0,carroll11,1
C(CCC)C1CCCCC1,butylcyclohexane,321.0,carroll11,1
C1CCC[C@@H]2CCCC[C@@H]12,trans-decalin,326.0,carroll11,1
C1CCC[C@@H]2CCCC[C@H]12,cis-decalin,330.0,carroll11,1
C1CCCCCCCCC1,cyclodecane,332.0,carroll11,1
C(CCCC)C1CCCCC1,pentylcyclohexane,336.0,carroll11,1
C1(CCCCC1)C1CCCCC1,bicyclohexyl,365.0,carroll11,1
CC(C)(CC(CC(CC(C)(C)C)C)(C)C)C,"2,2,4,4,6,8,8-heptamethylnonane",368.0,carroll11,1
C=CCCC,1-pentene,222.0,carroll11,1
C=CCCCC,1-hexene,247.0,carroll11,1
C=CCCCCC,1-heptene,264.0,carroll11,1
C=CCCCCCCC,1-nonene,298.0,carroll11,1
C=CCCCCCCCC,1-decene,311.0,carroll11,1
C=CCCCCCCCCC,1-undecene,327.0,carroll11,1
C=CCCCCCCCCCC,1-dodecene,346.0,carroll11,1
C=CCCCCCCCCCCC,1-tridecene,365.0,carroll11,1
C=CCCCCCCCCCCCC,1-tetradecene,370.0,carroll11,1
C=CCCCCCCCCCCCCC,1-pentadecene,386.0,carroll11,1
C=CCCCCCCCCCCCCCC,1-hexadecene,402.0,carroll11,1
C=CCCCCCCCCCCCCCCC,1-heptadecene,414.0,carroll11,1
C=CCCCCCCCCCCCCCCCC,1-octadecene,427.0,carroll11,1
C\C=C/CC,cis-2-pentene,227.0,carroll11,1
C\C=C\CC,trans-2-pentene,228.0,carroll11,1
CC\C=C/CC,cis-3-hexene,248.0,carroll11,1
CC\C=C\CC,trans-3-hexene,248.0,carroll11,1
C\C=C\CCC,trans-2-hexene,248.0,carroll11,1
C\C=C/CCC,cis-2-hexene,248.0,carroll11,1
CC\C=C/CCC,cis-3-heptene,264.0,carroll11,1
CC\C=C\CCC,trans-3-heptene,266.0,carroll11,1
C\C=C\CCCC,trans-2-heptene,267.0,carroll11,1
C\C=C/CCCC,cis-2-heptene,267.0,carroll11,1
CCC\C=C\CCC,trans-4-octene,281.0,carroll11,1
CC\C=C\CCCC,trans-3-octene,282.0,carroll11,1
CCC\C=C/CCC,cis-4-octene,290.0,carroll11,1
CC\C=C/CCCC,cis-3-octene,287.0,carroll11,1
C\C=C\CCCCC,trans-2-octene,287.0,carroll11,1
CC(=C)CC,2-methyl-1-butene,226.0,carroll11,1
CC(C)=CC,2-methyl-2-butene,228.0,carroll11,1
C1=CCCC1,cyclopentene,243.0,carroll11,1
CC(CC=C)C,4-methyl-1-pentene,241.0,carroll11,1
CC(C=C)CC,3-methyl-1-pentene,240.0,carroll11,1
CC(\C=C/C)C,cis-4-methyl-2-pentene,240.0,carroll11,1
CC(/C=C/C)C,trans-4-methyl-2-pentene,246.0,carroll11,1
CC(=C)CCC,2-methyl-1-pentene,246.0,carroll11,1
C(C)C(=C)CC,2-ethyl-1-butene,247.0,carroll11,1
CC(C)=C(C)C,"2,3-dimethyl-2-butene",253.0,carroll11,1
C=C1CCCC1,methylenecyclopentane,255.0,carroll11,1
CC1=CCCC1,1-methylcyclopentene,254.0,carroll11,1
CC(=C)C(C)(C)C,"2,3,3-trimethyl-1-butene",256.0,carroll11,1
C1=CCCCC1,cyclohexene,256.0,carroll11,1
CC(C=C)CCC,3-methyl-1-hexene,255.0,carroll11,1
CC(=C)C(CC)C,"2,3-dimethyl-1-pentene",256.0,carroll11,1
C(C)C(C=C)CC,3-ethyl-1-pentene,256.0,carroll11,1
CC(CCC=C)C,5-methyl-1-hexene,263.0,carroll11,1
CC(CC=C)CC,4-methyl-1-hexene,258.0,carroll11,1
CC(=C)CCCC,2-methyl-1-hexene,265.0,carroll11,1
C(C)C(=C)CCC,2-ethyl-1-pentene,263.0,carroll11,1
C(C)C(=CC)CC,3-ethyl-2-pentene,267.0,carroll11,1
C12C=CC(CC1)C2,2-norbornene,259.0,carroll11,1
CC(=C)CC(C)(C)C,"2,4,4-trimethyl-1-pentene",269.0,carroll11,1
CC1CC=CCC1,4-methylcyclohexene,272.0,carroll11,1
C=C1CCCCC1,methylenecyclohexane,271.0,carroll11,1
CC1C=CCCC1,3-methylcyclohexene,270.0,carroll11,1
CC(C)=CC(C)(C)C,"2,4,4-trimethyl-2-pentene",272.0,carroll11,1
CC1=CCCCC1,1-methylcyclohexene,272.0,carroll11,1
C(C)C(C=C)CCC,3-ethyl-1-hexene,274.0,carroll11,1
CC(CC=C)CCC,4-methyl-1-heptene,275.0,carroll11,1
CC(=C)CCCCC,2-methyl-1-heptene,283.0,carroll11,1
CC(C)=CCCCC,2-methyl-2-heptene,282.0,carroll11,1
C(C=C)C1CCCC1,allylcyclopentane,285.0,carroll11,1
C(=C)C1CCCCC1,vinylcyclohexane,294.0,carroll11,1
CC(CCCCC=C)C,7-methyl-1-octene,291.0,carroll11,1
C12C=C(CCC1C2(C)C)C,2-carene,311.0,carroll11,1
C=CC(C)=C,isoprene,225.0,carroll11,1
CC(=C)C(=C)C,"2,3-dimethyl-1,3-butadiene",251.0,carroll11,1
CC(=CC=C)C,"4-methyl-1,3-pentadiene",255.0,carroll11,1
C=CCCCC=C,"1,6-heptadiene",263.0,carroll11,1
C=CCCCCC=C,"1,7-octadiene",278.0,carroll11,1
CC(C)=CC=C(C)C,"2,5-dimethyl-2,4-hexadiene",297.0,carroll11,1
C=CCCCCCC=C,"1,8-nonadiene",299.0,carroll11,1
C1=CC=CCC1,"1,3-cyclohexadiene",257.0,carroll11,1
C1=CCC=CC1,"1,4-cyclohexadiene",262.0,carroll11,1
C(=C)C1CC=CCC1,4-vinyl-1-cyclohexene,289.0,carroll11,1
C1=CCCC=CCC1,"1,5-cyclooctadiene",308.0,carroll11,1
C12C=CC(C=C1)C2,"2,5-norbornadiene",262.0,carroll11,1
C(C)=C1C2C=CC(C1)C2,5-ethylidene-2-norbornene,302.0,carroll11,1
C1=CC=CC=CC=C1,"1,3,5,7-cyclooctatetraene",295.0,carroll11,1
C#CCCC,1-pentyne,239.0,carroll11,1
C#CCCCC,1-hexyne,253.0,carroll11,1
C#CCCCCC,1-heptyne,271.0,carroll11,1
C#CCCCCCC,1-octyne,289.0,carroll11,1
C#CCCCCCCC,1-nonyne,306.0,carroll11,1
C#CCCCCCCCC,1-decyne,321.0,carroll11,1
C#CCCCCCCCCC,1-undecyne,338.0,carroll11,1
C#CCCCCCCCCCC,1-dodecyne,352.0,carroll11,1
C#CCCCCCCCCCCC,1-tridecyne,366.0,carroll11,1
CC#CCC,2-pentyne,243.0,carroll11,1
CC#CCCC,2-hexyne,263.0,carroll11,1
CC#CCCCC,2-heptyne,281.0,carroll11,1
CC#CCCCCC,2-octyne,297.0,carroll11,1
CC#CCCCCCC,2-nonyne,312.0,carroll11,1
CC#CCCCCCCC,2-decyne,326.0,carroll11,1
CC#CCCCCCCCCC,2-dodecyne,351.0,carroll11,1
CCC#CCC,3-hexyne,259.0,carroll11,1
CCC#CCCC,3-heptyne,278.0,carroll11,1
CCC#CCCCCC,3-nonyne,311.0,carroll11,1
CCCC#CCCCC,4-nonyne,308.0,carroll11,1
CCCC#CCCC,4-octyne,291.0,carroll11,1
CCC#CCCCCCC,3-decyne,325.0,carroll11,1
CCCC#CCCCCC,4-decyne,325.0,carroll11,1
CCCC#CCCCCCC,4-undecyne,339.0,carroll11,1
CCCCC#CCCCCC,5-undecyne,339.0,carroll11,1
CC(C#C)(C)C,"3,3-dimethyl-1-butyne",239.0,carroll11,1
CC(CC#C)C,4-methyl-1-pentyne,249.0,carroll11,1
CC(C#CC)(C)C,"4,4-dimethyl-2-pentyne",263.0,carroll11,1
CC(CCC#C)C,5-methyl-1-hexyne,266.0,carroll11,1
C#CCCCC#C,"1,6-heptadiyne",282.0,carroll11,1
C#CCCCCC#C,"1,7-octadiyne",296.0,carroll11,1
C#CCCCCCC#C,"1,8-nonadiyne",315.0,carroll11,1
C1=CC=CC=C1,benzene,262.0,carroll11,1
CC1=CC=CC=C1,toluene,280.0,carroll11,1
C(C)C1=CC=CC=C1,ethylbenzene,294.0,carroll11,1
C(CC)C1=CC=CC=C1,propylbenzene,303.0,carroll11,1
C(CCC)C1=CC=CC=C1,butylbenzene,323.0,carroll11,1
C(CCCC)C1=CC=CC=C1,pentylbenzene,339.0,carroll11,1
C(CCCCC)C1=CC=CC=C1,hexylbenzene,356.0,carroll11,1
C(CCCCCC)C1=CC=CC=C1,heptylbenzene,368.0,carroll11,1
C(CCCCCCC)C1=CC=CC=C1,octylbenzene,380.0,carroll11,1
C(CCCCCCCC)C1=CC=CC=C1,nonylbenzene,390.0,carroll11,1
C(CCCCCCCCCC)C1=CC=CC=C1,undecylbenzene,417.0,carroll11,1
C1(=CC=C(C=C1)C)C,p-xylene,298.0,carroll11,1
C1(=CC(=CC=C1)C)C,m-xylene,298.0,carroll11,1
C=1(C(=CC=CC1)C)C,o-xylene,303.0,carroll11,1
C1(=CC=CC=C1)C(C)C,cumene,304.0,carroll11,1
C(C)C1=CC=C(C)C=C1,p-ethyltoluene,309.0,carroll11,1
C(C)C=1C=C(C)C=CC1,m-ethyltoluene,311.0,carroll11,1
C(C)C1=C(C)C=CC=C1,o-ethyltoluene,312.0,carroll11,1
CC1=CC(=CC(=C1)C)C,"1,3,5-trimethylbenzene",317.0,carroll11,1
CC1=C(C=C(C=C1)C)C,"1,2,4-trimethylbenzene",319.0,carroll11,1
C(C)(C)(C)C1=CC=CC=C1,tert-butylbenzene,317.0,carroll11,1
C(C(C)C)C1=CC=CC=C1,isobutylbenzene,323.0,carroll11,1
C(C)(C)C=1C=C(C)C=CC1,m-isopropyltoluene,320.0,carroll11,1
CC1=C(C(=CC=C1)C)C,"1,2,3-trimethylbenzene",324.0,carroll11,1
C(C)(C)C1=CC=C(C)C=C1,p-isopropyltoluene,320.0,carroll11,1
C(C)(C)C1=C(C)C=CC=C1,o-isopropyltoluene,323.0,carroll11,1
C(C)C1=CC(=CC=C1)CC,m-diethylbenzene,324.0,carroll11,1
C(CC)C=1C=C(C)C=CC1,m-propyltoluene,325.0,carroll11,1
C(C)C1=CC=C(C=C1)CC,p-diethylbenzene,328.0,carroll11,1
C(C)C1=C(C=CC=C1)CC,o-diethylbenzene,328.0,carroll11,1
C(C(C)(C)C)C1=CC=CC=C1,neopentylbenzene,323.0,carroll11,1
C(C)C1=C(C=CC(=C1)C)C,"2-ethyl-1,4-dimethylbenzene",329.0,carroll11,1
C(C)C1=C(C=C(C=C1)C)C,"1-ethyl-2,4-dimethylbenzene",330.0,carroll11,1
C(C)C1=CC(=C(C=C1)C)C,"4-ethyl-1,2-dimethylbenzene",331.0,carroll11,1
C(C)C1=CC(=CC=C1)C(C)C,1-ethyl-3-isopropylbenzene,336.0,carroll11,1
C(C)C1=C(C(=CC=C1)C)C,"1-ethyl-2,3-dimethylbenzene",338.0,carroll11,1
C1(=CC=CC=C1)CC(CC)C,1-phenyl-2-methylbutane,337.0,carroll11,1
C(CC(C)C)C1=CC=CC=C1,isopentylbenzene,335.0,carroll11,1
CC1=C(C(=CC(=C1)C)C)C,"1,2,3,5-tetramethylbenzene",336.0,carroll11,1
C(C)(C)C1=CC(=CC=C1)C(C)C,"1,3-diisopropylbenzene",349.0,carroll11,1
CC1=C(C(=C(C=C1)C)C)C,"1,2,3,4-tetramethylbenzene",341.0,carroll11,1
C1(=CC=CC=C1)C(C)(CC)C,2-phenyl-2-methylbutane,332.0,carroll11,1
CC1=C(C(=CC=C1)CCC)C,"1,2-dimethyl-3-propylbenzene",345.0,carroll11,1
C(C)(C)C1=CC=C(C=C1)C(C)C,"1,4-diisopropylbenzene",349.0,carroll11,1
C1CCCC2=CC=CC=C12,"1,2,3,4-tetrahydronaphthalene",344.0,carroll11,1
C1(CCCCC1)C1=CC=CC=C1,cyclohexylbenzene,371.0,carroll11,1
CC(CCCCCC)C1=CC=CC=C1,(1-methylheptyl)benzene,373.0,carroll11,1
C1(=CC=CC=C1)CC1=CC=CC=C1,diphenylmethane,400.0,carroll11,1
C(C)OC=O,ethylformate,254.0,carroll11,1
C(CC)OC=O,propylformate,270.0,carroll11,1
C(CCC)OC=O,butylformate,291.0,carroll11,1
C(CCCC)OC=O,pentylformate,299.0,carroll11,1
C(CCCCC)OC=O,hexylformate,317.0,carroll11,1
C(CCCCCC)OC=O,heptylformate,333.0,carroll11,1
C(CCCCCCC)OC=O,octylformate,342.0,carroll11,1
C(CCCCCCCC)OC=O,nonylformate,361.0,carroll11,1
C(CCCCCCCCC)OC=O,decylformate,373.0,carroll11,1
C(C)(C)OC=O,isopropylformate,259.0,carroll11,1
C(C)(C)(C)OC=O,tert-butylformate,264.0,carroll11,1
C(CC(C)C)OC=O,isopentylformate,295.0,carroll11,1
C(C(C)C)OC=O,isobutylformate,277.0,carroll11,1
C1(CCCCC1)C(=O)[O-],cyclohexylformate,324.0,carroll11,1
COC(C)=O,methylacetate,260.0,carroll11,1
C(C)OC(C)=O,ethylacetate,269.0,carroll11,1
C(CC)OC(C)=O,propylacetate,283.0,carroll11,1
C(CCC)OC(C)=O,butylacetate,298.0,carroll11,1
C(CCCC)OC(C)=O,pentylacetate,312.0,carroll11,1
C(CCCCC)OC(C)=O,hexylacetate,328.0,carroll11,1
C(CCCCCC)OC(C)=O,heptylacetate,340.0,carroll11,1
C(CCCCCCC)OC(C)=O,octylacetate,355.0,carroll11,1
C(CCCCCCCC)OC(C)=O,nonylacetate,364.0,carroll11,1
C(CCCCCCCCC)OC(C)=O,decylacetate,377.0,carroll11,1
C(CCCCCCCCCC)OC(C)=O,undecylacetate,384.0,carroll11,1
C(CCCCCCCCCCC)OC(C)=O,dodecylacetate,393.0,carroll11,1
C(C)(C)OC(C)=O,isopropylacetate,275.0,carroll11,1
C(C)(C)(C)OC(C)=O,tert-butylacetate,277.0,carroll11,1
C(C)(CC)OC(C)=O,sec-butylacetate,289.0,carroll11,1
C(C(C)C)OC(C)=O,isobutylacetate,291.0,carroll11,1
C(CCCC)CC(=O)[O-],2-pentylacetate,305.0,carroll11,1
C(CC(C)C)OC(C)=O,isopentylacetate,309.0,carroll11,1
C(C)(C)(CC)OC(C)=O,tert-pentylacetate,298.0,carroll11,1
C1(CCCCC1)CC(=O)[O-],cyclohexylacetate,331.0,carroll11,1
C1(CCCCCCCCC1)CC(=O)[O-],cyclodecylacetate,379.0,carroll11,1
COC(CC)=O,methylpropanoate,271.0,carroll11,1
C(C)OC(CC)=O,ethylpropanoate,285.0,carroll11,1
C(C)(C)(C)OC(CC)=O,tert-butylpropanoate,293.0,carroll11,1
C(CC)OC(CC)=O,propylpropanoate,295.0,carroll11,1
C(CCC)OC(CC)=O,butylpropanoate,311.0,carroll11,1
C(CC(C)C)OC(CC)=O,isopentylpropanoate,319.0,carroll11,1
C(CCCC)OC(CC)=O,pentylpropanoate,326.0,carroll11,1
C(CCCCC)OC(CC)=O,hexylpropanoate,338.0,carroll11,1
C1(CCCCC1)OC(CC)=O,cyclohexylpropanoate,341.0,carroll11,1
C(C)OC(CCC)=O,ethylbutanoate,293.0,carroll11,1
C(C)(C)OC(CCC)=O,isopropylbutanoate,297.0,carroll11,1
C(CC)OC(CCC)=O,propylbutanoate,308.0,carroll11,1
C(C(C)C)OC(CCC)=O,isobutylbutanoate,319.0,carroll11,1
C(CCC)OC(CCC)=O,butylbutanoate,322.0,carroll11,1
C(CC(C)C)OC(CCC)=O,isopentylbutanoate,332.0,carroll11,1
COC(CCCC)=O,methylpentanoate,295.0,carroll11,1
C(C)OC(CCCC)=O,ethylpentanoate,308.0,carroll11,1
COC(CCCCC)=O,methylhexanoate,314.0,carroll11,1
COC(CCCCCC)=O,methylheptanoate,325.0,carroll11,1
COC(CCCCCCC)=O,methyloctanoate,342.0,carroll11,1
COC(C(C)C)=O,methyl2-methylpropanoate,276.0,carroll11,1
C(C)OC(C(C)C)=O,ethyl2-methylpropanoate,286.0,carroll11,1
COC(=O)C1CC1,methylcyclopropanecarboxylate,291.0,carroll11,1
C(CC)OC(C(C)C)=O,propyl2-methylpropanoate,303.0,carroll11,1
C(C(C)C)OC(C(C)C)=O,isobutyl2-methylpropanoate,311.0,carroll11,1
COC(=O)C1CCCCC1,methylcyclohexanecarboxylate,333.0,carroll11,1
CC1(CCC(=O)O1)C=C,4-methyl-4-vinylbutyrolactone,348.0,carroll11,1
C(C)(C)OC,isopropylmethylether,226.0,carroll11,1
C(C)OCC,diethylether,233.0,carroll11,1
C1C(C)O1,propyleneoxide,236.0,carroll11,1
C(C)(C)(C)OC,tert-butylmethylether,245.0,carroll11,1
C(C(C)C)OC,isobutylmethylether,244.0,carroll11,1
COC(C)CC,2-methoxybutane,244.0,carroll11,1
C(C)OCCC,ethylpropylether,248.0,carroll11,1
O1CCCC1,tetrahydrofuran,252.0,carroll11,1
C(C)(C)OC(C)C,diisopropylether,245.0,carroll11,1
C(CCC)OC,butylmethylether,263.0,carroll11,1
CC1OCCC1,2-methyltetrahydrofuran,261.0,carroll11,1
COC(C)(C)CC,methyltert-pentylether,266.0,carroll11,1
C(CCC)OCC,butylethylether,268.0,carroll11,1
C1(CCCC1)OC,cyclopentylmethylether,272.0,carroll11,1
C(C)(CC)OC(C)CC,di-sec-butylether,288.0,carroll11,1
C12C(CCCC1)O2,cyclohexeneoxide,297.0,carroll11,1
C1(CCCCC1)OC,cyclohexylmethylether,294.0,carroll11,1
C(CCC)OCCCC,dibutylether,298.0,carroll11,1
C(CC(C)C)OCCC(C)C,diisopentylether,319.0,carroll11,1
C(CCCC)OCCCCC,dipentylether,330.0,carroll11,1
C(C)OCOCC,diethoxymethane,268.0,carroll11,1
COC(C)OC,"1,1-dimethoxyethane",256.0,carroll11,1
COCCOC,"1,2-dimethoxyethane",271.0,carroll11,1
C(C)(C)OCC1CO1,isopropylglycidylether,306.0,carroll11,1
C(C)OC(OCC)OCC,triethoxymethane,308.0,carroll11,1
O1COCC1,"1,3-dioxolane",267.0,carroll11,1
CC1OCCO1,"2-methyl-1,3-dioxolane",271.0,carroll11,1
O1CCOCC1,"1,4-dioxane",284.0,carroll11,1
C(CC)=O,propanal,246.0,carroll11,1
C(CCC)=O,butanal,266.0,carroll11,1
C(CCCC)=O,pentanal,281.0,carroll11,1
C(CCCCC)=O,hexanal,298.0,carroll11,1
C(CCCCCC)=O,heptanal,313.0,carroll11,1
C(CCCCCCC)=O,octanal,324.0,carroll11,1
