compound,flashpoint
2butanone78933,-9
2methyl1propanal,-25.15
2methyl2propen1ol513428,33.3
3buten1ol627270,37.8
3butene2ol,19.85
Butyraldehyde123728,-6.7
Ethylvinylether109922,-18
Isobutyraldehyde78842,-18.3
Tetrahydrofuran109999,-14
trans2buten1ol504610,32.8
"Butane, 2-methyl-",-51
22dimethylpropane,-65.15
Isopentane,-57.15
Pentane109660,-49
1-nitroethene,23.2
Propionamide,84.9
"2-Propanone, oxime",45.2
NmethylAcetamide108oC,108
NNdimethylformamide,57.85
"Guanidine, methyl-",58.1
"Thiocyanic acid, methyl ester",38
2methyl2propenal,-15.15
Methylisothiocyanate556616,32.2
"2-Propanamine, 2-methyl-",-9
"2-Butanamine, (S)- (9CI)",-19
"Ethanamine, N,N-dimethyl-",-36
sec-Butylamine,-19
Butylamine109739,-1
Diethylamine109897,-23
Isobutylamine78819,-9
Nmethyl2propanamine,-31.15
secButylamine,-19.15
tertButylamine,-9.15
"Acetic acid, 2-oxo-",103.9
"2-Propanone, 1-hydroxy-",56
"1-Propanol, 2,3-epoxy-",71
13dioxolane646060,1.85
Ethylformate109944,-20
methylacetate79209,-10
PropanoicAcid79094,51
"Methanamine, N-methyl-N-nitroso-",61
methylurea,23.1
"Acetic acid, hydrazide",102.6
"Diazene, dimethyl-, 1-oxide (9CI)",9.4
Dimethylnitrosamine,60.85
"Ethane, 1,1'-oxybis-",-45
Butyl alcohol,35
"1-Propanol, 2-methyl-",27.778
1-deuteriooxybutane,35
2butanol78922,24
2methyl1propanol,27.85
4butylalcohol75650,11
Diethylether60297,-45
Isobutylalcohol78831,28
methylpropylether557175,-20
secbutanol,25.85
tertbutylalcohol,11
Trimethylenediamine,48.9
"N'-methylethane-1,2-diamine",41.1
12propanediamine,32.85
13propanediamine,47.85
prop-2-ene-1-thiol,18
"Propane, 1,2-epithio-",10
TrimethylSilane-69oC,-69
3-chloroprop-1-yne,18.9
Glycine iron sulphate (1:1),99.516
ethyl nitrite,15
"Acetamide, N-hydroxy- (9CI)",127.6
"Carbamic acid, methyl ester",105.2
Nitroethane79243,28
"2-Propanol, 1-amino-",73.9
"Ethanamine, 2-methoxy-",9.4
1amino2propanol78966,77.2
2methylaminoEthanol109831,73.9
3amino1propanol79oC,79
"Acetamide, thio- (VAN) (8CI)",21.4
"Acetonitrile, chloro-",47.8
"Acetic acid, hydroxy-",128.7
Ethaneperoxoic acid,41
"Methanamine, N-nitro- (9CI)",47.6
propanoyl fluoride,3.2
2-(fluoromethyl)oxirane,4
"Ethanol, 2-methoxy-",46.1
"propane-1,3-diol",79.4
N-Propyl hydroperoxide,24.3
12propanediol,106.85
2methoxyethanol109864,39
Dimethoxymethane109875,-18.15
N-(2-Hydroxyethyl)hydrazine,73.9
ethanethioic S-acid,11.1
2fluoro2methylpropane353617,-12.2
"Urea, thio- (8CI)",66.8
methylsulfanylethane,-15
2-Propanethiol,-34
1propanethiol107039,-20.6
2chloro1propene-34oC,-34
3chloro1propene-32oC,-32
3chloropropene,-29.15
Allylchloride107051,-32
"Acetamide, 2-fluoro-",110.4
"2-Butenedinitrile, (E)- (9CI)",82.6
3-fluoropropan-1-ol,38.5
"hexa-2,4-diyne",12.3
Benzene71432,-11
Sulfinylbis-methane (9CI),85
2mercapoethanol,72.85
DimethylSulfoxide,87.85
Acetylchloride75365,4
1chloropropane,-18.15
2chloropropane,-32.15
Isopropylchloride75296,-32
"(2Z)-penta-2,4-dienenitrile",39.1
Pyridine110861,20
carbamoyl chloride,35.6
methylphosphonous acid,70.2
pyridazine,85
Pyrazine,55
Butanedinitrile,141.1
Pyrimidine,30.85
Succinonitrile110612,132.2
"cyclohexa-1,4-diene",-6
13cyclohexadiene,25.85
14cyclohexadiene,-6.15
Methylcyclopentadiene,25.85
"Ether, chloromethyl methyl",15
2chloroethanol107073,60
"1,3,5-triazine",31.1
"1H-Pyrrole, 1-methyl-",16
pent-4-enenitrile,46.2
2-methyl-1H-pyrrole,47.2
cyclobutanecarbonitrile,44.3
"3-Pentenenitrile,(E)- (8CI)",28.5
3-methyl-1H-pyrrole,47.2
3-Pentenenitrile,40
1methylpyrrole,14.85
Difluoroethanol,0.4
3-methylfuran,-22
cyclopent-2-en-1-one,42
Pent-2-en-4-yn-1-ol,64.2
2methylfuran,-22
1-methylimidazole,92
"1H-Imidazole, 4-methyl-",141.6
"Pyrazole, 3-methyl-",93
"1H-Imidazole, 2-methyl-",144.9
1-methylpyrazole,35
"1H-Pyrazole, 4-methyl-",96.1
1-Hexyne,-21
"3,3-dimethylbut-1-yne",-34
methylidenecyclopentane,-18
"(2Z,4E)-hexa-2,4-diene",-13.9
1-methylcyclopentene,76
12hexadiene-20oC,-20
13hexadieneFP-19oC,-19
14hexadiene592450,-21
15hexadiene,-27.15
1hexyne,-20.15
1methylcyclopentene,-17.15
23dimethyl13butadiene,-22.15
24hexadiene-7oC,-7
2hexyne,-11.15
2methyl13pentadiene-20oC,-20
3hexyne-17oC,-17
3methyl13pentadiene,-28.15
3methyl14pentadiene-38oC,-38
4methyl13pentadiene926567,-34
Cyclohexene,-20.15
Methylenecyclopentane,-19.15
4-Methyloxazole,20.5
"Isocyanic acid, allyl ester",43
"5-methyl-1,2-oxazole",30
"3-Butenenitrile, 2-hydroxy-",71.9
Pentanenitrile,40.6
"Butanenitrile, 3-methyl-",28.3
"2-Propynylamine, 1,1-dimethyl- (6CI,7CI,8CI)",2
2-methylbutanenitrile,24.4
"1,2,3,6-tetrahydropyridine",16.1
1-isocyanobutane,20.6
22dimethylpropanenitrile,3.85
Butylcyanide,39.85
Pentanenitrile110598,40.6
Valeronitrile110598,39.85
"Crotonic acid, 4-hydroxy-, gamma-lactone (6CI,7CI)",101.1
but-2-ynoic acid,90.9
"2-Oxetanone, 4-methylene-",97.9
methyl prop-2-ynoate,10
"2-Butenedial, (Z)-",66.2
4methylene2oxetanone34oC,34
Diketene,32.85
"Guanidine, N-cyano-",92.8
"4H-1,2,4-Triazole, 4-amino-",115.7
"Crotonaldehyde, 3-methyl- (8CI)",33.9
"3-Butyn-2-ol, 2-methyl-",25
6-oxabicyclo[3.1.0]hexane,10
(E)-2-methylbut-2-enal,18.3
3-Penten-2-one,70
1-cyclopropylethanone,21.1
"3-Buten-2-one, 3-methyl-",11
"Butanal, 2-methylene- (9CI)",1
"penta-1,4-dien-3-ol",30
(E)-2-methylbut-2-enal,18.3
(E)-Pent-2-en-1-al,19
Ethyl vinyl ketone,-10
Pent-4-yn-2-ol,37.2
(E)-pent-3-en-2-one,19.8
Cyclopent-2-en-1-ol,55.1
1-Pentyn-3-ol,29
Pent-4-yn-1-ol,56
2-Pentyn-1-ol,58
3-Pentyn-1-ol,54.4
cyclopentanone,30.556
1cyclopropylethanone,12.85
23dihydro5methylfuran,-12.15
34dihydro2Hpyran110872,-18
3methyl3buten2one21oC,21
Cyclopentanone120923,26
"Propionitrile, 3-(methylamino)- (6CI,7CI,8CI)",63.1
"2-methyl-4,5-dihydro-1H-imidazole",74.2
"Acetonitrile, (dimethylamino)-",33
Thiophene110021,-1.1
"3,3-dimethylbut-1-ene",-28
"2,3-dimethylbut-1-ene",-18
2-methylpent-2-ene,-27
"2,3-dimethylbut-2-ene",-16
1hexene,-26.15
23dimethyl1butene,-18.15
23dimethyl2butene,-16.15
2ethyl1butene,-26.15
2hexene,-21.15
2methyl1pentene,-26.15
2methyl2pentene,-23.15
33dimethyl1butene,-28.15
3methyl1pentene,-28.15
3methyl2pentene,-6.15
4methyl1pentene,-31.15
4methyl2pentene-35oC,-35
Cyclohexane110827,-20
methylcyclopentane,-10.15
"Methane, dichloro-",39.5
"Acetic acid, cyano-",107.8
"2-Propenamide, 2-methyl-",81.7
"Propionitrile, 3-methoxy- (8CI)",61.1
1-isocyanatopropane,-1
"2-methyl-4,5-dihydro-1,3-oxazole",20
"2-Propenamide, N-methyl-",103.6
cyclopropanecarboxamide,104.1
"Propanenitrile, 2-hydroxy-2-methyl-",73
2methyl2propenamide103oC,103
2pyrrolidinone129oC,129
AcetoneCyanohydrin75865,74
Thiazole,26
"Pyrrolidine, 1-methyl-",-21.7
1methylpyrrolidine,-18.15
Cyclopentylamine,11.85
Nmethylpyrrolidine120945,-13.9
Piperidine110894,16
"2-Propenoic acid, 2-methyl-",74.172
"2(3H)-Furanone, dihydro-",80.9
"2,2'-Bioxirane, (theta,theta)-(+/-)-",40
"2,3-Butanedione",5.5
(Z)-but-2-enoic acid,81.6
"2,3-dihydro-1,4-dioxine",25.6
2-(oxiran-2-yl)oxirane,45.6
But-3-enoic acid,68.2
"Butane, 1,2:3,4-diepoxy-",40
cyclopropanecarboxylic acid,71.7
"Formic acid, allyl ester (8CI)",6.5
2-Butenoic acid,88
(2S)-2-[(2S)-oxiran-2-yl]oxirane,45.6
"2-Propenoic acid, methyl ester",6.667
"2-Butenoic acid, (E)- (9CI)",81.6
"2-Butyne-1,4-diol",135.558
(1)-4-Methyloxetan-2-one,34.1
(2R)-2-[(2R)-oxiran-2-yl]oxirane,45.6
23butanedione431038,26.7
2butyne14diol152oC,152
2methyl2propenoicAcid67oC,67
Crotonicacid,87.85
Ethenylacetate,-8.15
gammaButyrolactone,97.85
Methyl2propenoat-3oC,-3
Methylacrylate96333,6
Vinylacetate108054,-8
2-Imidazolidinone,202.519
"Ethenamine, N-methyl-N-nitroso- (9CI)",45.5
EthyleneUreaCAS120934flash202,202
"Butyraldehyde, 2-methyl-",4
cyclopentanol,51
"Furan, 2-methyl-tetrahydro-",-11
2-Pentanone,7.2
Valeraldehyde,12.2
oxane,-15
"2-Buten-1-ol, 3-methyl-",43
"Butyraldehyde, 3-methyl-",-5
1-Penten-3-ol,25
4-Penten-2-ol,25.6
"2,2-dimethylpropanal",-15
"3-Buten-1-ol, 3-methyl-",40.1
1-ethenoxypropane,-26.1
1-cyclopropylethanol,30.6
Pent-4-en-1-ol,43
3-Penten-2-ol,27.8
"2-Penten-1-ol, (2Z)-",50.6
(E)-pent-2-en-1-ol,50.6
3-methylbut-3-en-2-ol,29.6
3-Pentanone,12.8
"3-Butyn-2-ol, 2-methyl- (8CI,9CI)",12.8
"1-Propene, 1-ethoxy- (9CI)",-18.9
2methyltetrahydrofuran96479,-11.1
2pentanone107879,7.2
3methyl2butanone,5.85
3methylbutanal-5oC,-5
3pentanone,12.85
Cyclopentanol96413,51
IsopropylVinylether926658,-32
MethylIsopropenylKetone814788,12.85
Pentanal,7.85
Tetrahydropyran142687,-20
Valeraldehyde110623,11.85
Piperazine,49.7
"2,5-dihydrothiophene",23.5
"Butane, 2,2-dimethyl-",-48
"Pentane, 3-methyl-",-6
"Pentane, 2-methyl-",-32
22dimethylbutane75832,-48
23dimethylbutane79298,-29
2methylpentane,-23.15
3methylpentane,-6.15
hexane110543,-23
Oxirane-2-carboxamide,240.8
"2-Butanone, oxime",60
Butyraldehyde oxime,58
Morpholine,35.6
butanamide,87.9
2-methylpropanamide,87.7
N-ethylacetamide,105.4
N-methylpropanamide,105.4
Morpholine,34.85
Nethylacetamide625503,110
NNdimethylacetamide,62.85
"Isothiocyanic acid, ethyl ester",32.2
ethyl thiocyanate,22
"1-Butanamine, 2-methyl-",3.3
"1-Butanamine, N-methyl-",1.7
"Propylamine, 1,2-dimethyl-",-27.8
"Propylamine, 1-ethyl- (8CI)",2.2
"Ethanamine, N-ethyl-N-methyl-",2.2
"N,N-dimethylpropan-2-amine",-9
"1-Butanamine, 3-methyl-",18.3
1-Pentanamine,4.4
N-ethylpropan-2-amine,16.1
2methylbutylAmine-16oC,-16
2pentaneamine63493287,-6.7
nAmylamine,3.85
Nethylisopropylamine,15.85
Nmethylbutylamine,0.85
"2-Propenenitrile, 2-chloro-",6.7
"Carbonic acid, cyclic ethylene ester",163.5
2-oxopropanoic acid,54.3
EthyleneCarbonate,149.85
Ethanediamide,112.7
"Ethanedial, dioxime",56.2
"Hydrazine, 1,2-diformyl- (8CI)",81.6
"Propanoic acid, 2-methyl-",58.2
"Butyraldehyde, 3-hydroxy-",58.7
Butanoic acid,69
Acetic acid ethyl ester,-4
oxolan-3-ol,81.1
"but-3-ene-1,2-diol",89.3
"1,3-Dioxolane, 2-methyl-",-2
"2-Butanone, 3-hydroxy-",49.7
"Ethanol, 2-(ethenyloxy)- (9CI)",50
"Propane, 1,2-epoxy-3-methoxy-",8.1
1-hydroxybutan-2-one,60
"(Z)-2-Butene-1,4-diol",128
"1,4-Dioxane",12.2
"Propanoic acid, methyl ester",-2
13dioxane1oC,1
14dioxane123911,12
1methoxy2propanone20oC,20
2butene14diol128oC,128
2methyl13dioxolane,-2.15
2methylpropanoicacid,55.85
Butyricacid107926,77
Ethylacetate141786,-3
Isobutyricacid79312,55.6
Isopropylformate625558,-6
Methylpropionate554121,-2
Propylformate110747,-3
"Urea, N,N'-dimethyl-",124.3
"Ethylamine, N-methyl-N-nitroso-",47.2
DimethylUrea157oC,157
Pentyl alcohol,48.9
"1-Propanol, 2,2-dimethyl-",37
Isopentyl alcohol (8CI),45.6
(1)-2-Methylbutan-1-ol,43
3-Pentanol,40
"Propane, 2-methoxy-2-methyl-",-28
2-Pentanol,34
2-methoxybutane,-30
"2-Butanol, 2-methyl-",21.1
1methoxybutane,-10.15
1pentanol71410,33
22dimethyl1propanol75843,37
2methoxybutane,-30.15
2methyl1butanol,42.85
2methyl2butanol,20.85
2pentanol,39.85
3methyl1butanol,42.85
3methyl2butanol,38.85
3pentanol,39.85
EthylPropylEther,-20.15
Isopentylalcohol123513,43
methylsecbutylether6795875,-30.15
tAmylalcohol75854,41
tertbutylmethylether1634044,-28.15
"Ethylenediamine, N,N-dimethyl- (8CI)",23.9
"1,2-Ethanediamine, N1-ethyl-",10
1-Methyltrimethylenediamine,36.5
"Hydrazine, 1,1-diethyl-",22.8
Tetramethylenediamine,51.7
"1,3-Propanediamine, N-methyl-",40
3-methylsulfanylprop-1-ene,18.3
"Thiophene, tetrahydro-",12.8
Thiacyclopentane,11.85
diethylsilicon,-28.9
DiethylSilane-20oC,-20
EthylDimethylSilane-25oC,-25
TetramethylSilane-28oC,-28
"4-chlorobuta-1,2-diene",0.5
2chloro13butadiene,-20.15
Chloroprene126998,-20
"Carbamic acid, ethyl ester",97.2
1nitropropane108032,35.6
2nitropropane79469,24
2-aminobutan-1-ol,82.2
"Ethanol, 2-(dimethylamino)-",40.6
"1-Propanol, 2-amino-2-methyl-",67.2
"N,N-diethylhydroxylamine",45
"1-Propanamine, 3-methoxy-",22.8
"1-Butanol, 4-amino-",107.8
1-aminobutan-2-ol,61
"Ethanol, 2-(ethylamino)-",78
2-ethoxyethanamine,17.7
1methoxy2propaneamine8oC,8
2amino2methyl1propanol124685,67.2
2dimethylaminoethanol,39.85
3methoxypropylamine5332730,32.2
Thiazolidine,56.1
"Propanenitrile, 3-chloro-",75.6
2-Chloropropionitrile,33.3
"Propanoic acid, 2-hydroxy-",109.936
"2-Propanone, 1,3-dihydroxy-",97.3
"Carbonic acid, dimethyl ester",18
"Acetic acid, 2-methoxy-",121
"Propanoic acid, 2-hydroxy-, (S)- (9CI)",109.9
methyl 2-hydroxyacetate,67.2
135trioxane45oC,45
Dimethylcarbonate,17.85
MethoxyaceticAcid115oC,115
"Carbazic acid, methyl ester (8CI)",86.1
"Hydroperoxide, 1,1-dimethylethyl",35
"1,3-Butanediol",121.1
"2-Propanol, 1-methoxy-",71.8
"Ethane, 1,2-dimethoxy-",0
"Ethanol, 2-ethoxy-",44
"Acetaldehyde, dimethyl acetal",-17
"2-methylpropane-1,2-diol",73.7
"1,2-Butanediol",93.3
2-methoxypropan-1-ol,41.9
"1-Propanol, 3-methoxy-",52.8
"2-methylpropane-1,3-diol",102.5
N-Butyl hydroperoxide,37.9
11dimethoxyethane,-17.15
12butanediol,92.85
12dimethoxyethane110714,-1.7
13butanediol107880,120.85
14butanediol142621,121.1
1methoxy2propanol,37.85
1methoxy2propanol32oC,32
23butanediol,84.85
2ethoxyethanol110805,43.3
2methoxy1propanol36oC,36
2methyl13propanediol113oC,113
"2-Propanol, 1,3-diamino-",96.9
"Pseudourea, 1-methyl-2-thio- (7CI)",39.1
"Ethane, 1,1'-thiobis-",-10
1-methylsulfanylpropane,0
"2-Propanethiol, 2-methyl-",-24
1butanethiol109795,1.7
2butanethiol,-23.15
2methyl1propanethiol-9oC,-9
2methyl2propanethiol,-26.15
Diethylsulfide352932,-9.4
prop-2-enoyl chloride,16.1
"1-Propene, 3-chloro-2-methyl-",-12.8
(Z)-2-chlorobut-2-ene,-19
(Z)-1-chlorobut-2-ene,105.4
(E)-1-chlorobut-2-ene,-12
(E)-1-chlorobut-2-ene,-15
chloromethylcyclopropane,-1.7
2methylallylchloride563473,-12
3chloro2methyl1propene,-12.15
Ethylnitrate625581,10
"1,3-Propanediol, 2-amino-",115.1
Hydrazinecarbothioamide,80
"Acetic acid, fluoro-, methyl ester",17.6
123propanetriol160oC,160
Glycerol,183.85
"Acetic acid, mercapto-",99.8
MercaptoaceticAcid125oC,125
"Benzene, methyl-",10
"Bicyclo(2.2.1)hepta-2,5-diene",-11.1
"1,3,5-Cycloheptatriene",26.7
16heptadiyne2396636,8.85
25norbornadiene,-11.15
Methylbenzene4oC,4
Toluene108883,4
TrimethylFluoroSilane-35oC,-35
"2-Propanone, 1-chloro-",27.8
"Propane, 1-chloro-2,3-epoxy-",33.9
3-chloropropanal,26.4
PropanoylChloride,11.85
Propionylchloride79038,12
2-chloro-2-methylpropane,18.3
"2-chloro-1,1,1,3,3,3-hexadeuterio-2-(trideuteriomethyl)propane",18.3
1chloro2methylpropane,20.85
1chlorobutane,-6.15
2chloro2methylpropane,17.85
2chlorobutane78864,-15
Butylchloride109693,-9.4
furan-2-carbonitrile,35
Benzenamine,76
"Pyridine, 4-methyl-",40
"Pyridine, 3-methyl-",36.111
"Pyridine, 2-methyl-",26.111
2chloropyridine,65.85
2methylpyridine109068,26
3picoline,39.85
4methylpyridine,36.85
4picoline,39.85
Aniline62533,70
"Acetamide, 2-chloro-",108.6
dimethylphosphinic acid,137.7
2-ethenylfuran,5.5
Phenol108952,79
"Pyrazine, 2-methyl-",50
"Pyridine, 3-amino-",124
"Pyridine, 4-amino-",156
3-methylpyridazine,87.8
5-methylpyrimidine,43.256
4-methylpyrimidine,40
"2,2-dimethylpropanedinitrile",77.8
2-methylpyrimidine,20.3
"Methane, sulfonylbis-",143
"2-methylcyclohexa-1,3-diene",3.1
1-Hepten-3-yne,8.2
"cyclohepta-1,3-diene",11.1
2norbornene,-15.15
"ethane-1,2-dithiol",44.4
Methyl disulfide (8CI),24.4
12ethanedithiol,49.85
DimethylDisulfide,23.85
"Acetic acid, chloro-",126
"Carbonochloridic acid, methyl ester",7.8
"2-Propanol, 1-chloro-",51.7
1-chloro-2-methoxyethane,15
chloromethoxyethane,19
2chloro1propanol78897,51.7
3chloro1propanol,72.85
chloro(dimethyl)silicon,-28
DimethylChloroSilane-25oC,-25
"Ethyne, dichloro- (9CI)",7.3
1H-pyrrole-2-carbaldehyde,106.7
1H-pyridin-2-one,181.1
"Acetonitrile, 2,2'-iminobis-",157.9
22iminobisAcetonitrile140oC,140
1-ethylpyrrole,25.5
"2,4-dimethyl-1H-pyrrole",56.6
2-ethyl-1H-pyrrole,62.2
"Pyrrole, 2,5-dimethyl- (8CI)",54
Chloronitromethane,24.7
"Acetic acid, 2,2-difluoro-",78
333trifluoro1propene-82oC,-82
2-Furancarboxaldehyde,58.3
pyran-4-one,101.1
pyran-2-one,89.2
furan-3-carbaldehyde,48.3
2furancarboxaldehyde60oC,60
Furfural,59.85
"Benzene, fluoro-",-15
Fluorobenzene462066,-15
Methanesulphonic acid,189
"2,4-Hexadienal, (2E,4E)-",68
"Furan, 2,5-dimethyl-",-1.7
2-methylcyclopent-2-en-1-one,53.1
hex-5-yn-2-one,42.7
3-methylcyclopent-2-en-1-one,53.1
"Furan, 2-ethyl-",1
"2,4-dimethylfuran",0.8
2-Cyclohexen-1-one,55.7
cyclohex-3-en-1-one,46.8
2cyclohexen1one930687,34
"3,5-dimethyl-1H-pyrazole",90.5
"2,5-dimethyl-1H-imidazole",142.3
"Acrylonitrile, 3-(dimethylamino)- (7CI,8CI)",131.9
1-ethylimidazole,78.9
"1,2-dimethylimidazole",92
3-methylcyclohexene,-3
hept-2-yne,8
1-methylcyclohexene,-3.9
hept-1-yne,-2
"2,4-dimethylpenta-1,3-diene",10
methylidenecyclohexane,-6.7
ethylidenecyclopentane,2.7
"hepta-1,2-diene",2.2
hept-3-yne,5.3
16heptadiene,-10.15
1heptyne,-2.15
1methylcyclohexene,-3.15
Methylenecyclohexane,-6.15
"Methane, chloro(methylthio)- (9CI)",17.2
2-chloroethanethiol,30.9
"1,1-Dichloroethene (9CI)",-25
"Ethene, 1,2-dichloro-, (E)- (9CI)",6.1
"Ethylene, 1,2-dichloro-",6.1
11dichloroethylene,-25.15
"1H-Pyrrole-2,5-dione",136.6
"Pyridine, 3-fluoro- (8CI)(9CI)",13.333
"Pyridine, 2-fluoro-",28.333
4-fluoropyridine,22.8
"3,5-dimethyl-1,2-oxazole",31.1
furan-2-ylmethanamine,46.7
"2,4-dimethyl-1,3-oxazole",34.5
"2,5-dimethyl-1,3-oxazole",30
"2-Propen-1-amine, N-2-propenyl-",15.6
"Pentanenitrile, 4-methyl-",45.6
Hexanenitrile628739,43
"Phosphonofluoridic acid, methyl-",45.6
"furan-2,5-dione",103.3
25furandione102oC,102
Furfuryl alcohol,65
Methanesulphonyl fluoride,28.5
"2(3H)-Furanone, 5-methyl-",68
ethyl prop-2-ynoate,23
"Acrylic acid, vinyl ester (6CI,7CI,8CI)",13.5
Furan-3-methanol,38.3
2-methoxyfuran,10
Furfurylalcohol,64.85
"3,4-dimethyl-1,2,5-oxadiazole",35.5
"Ethanimidic acid, N-cyano-, methyl ester",18.9
Cyclohexanone,44
3-Hexyn-2-ol,53.3
"2,4-Hexadien-1-ol",72.2
"3-Penten-2-one, 4-methyl-",30.6
7-Oxabicyclo(4.1.0)heptane,27.2
"1-Propene, 3,3'-oxybis-",-7
"1-Pentyn-3-ol, 4-methyl-",41.9
Hex-2-yn-1-ol,67.8
3-Cyclohexen-1-ol,53.4
cyclopentanecarbaldehyde,36
"Hexa-1,5-dien-3-ol",29.4
3-Hexyn-1-ol,63.3
2-methylcyclopentan-1-one,32.7
(E)-hex-4-en-3-one,34.4
"2-Hexenal, (2E)-",35
"3-Hexenal, (3Z)-",60
"4-methyl-3,6-dihydro-2H-pyran",14.3
"1-Pentyn-3-ol, 3-methyl-",29
5-Hexen-2-one,23.9
5-Hexyn-1-ol,70
"Pentanal, 2-methylene- (9CI)",29.1
1-cyclobutylethanone,32.3
2methyl2pentenal31oC,31
4methyl3penten2one141797,31
5hexen2one23oC,23
Cyclohexanone108941,44
CyclohexeneOxide,23.85
Mesityloxide,31.85
"Propanenitrile, 3-(dimethylamino)-",62
"Butanenitrile, 2-amino-2-methyl-",70.7
Diethylcyanamide,68.85
2methylthiophene,6.85
3methylthiophene616444,11
cycloheptane,6.1
