compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic
ETHYNYLTRI-n-BUTYLTIN,346.15,1,C#C[Sn](CCCC)(CCCC)CCCC,gelest_tin,0,1
PHENYLETHYNYLTRI-n-BUTYLTIN,386.15,1,CCCC[Sn](C#Cc1ccccc1)(CCCC)CCCC,gelest_tin,0,1
PHENYLTRI-n-BUTYLTIN,380.15,1,CCCC[Sn](CCCC)(CCCC)c1ccccc1,gelest_tin,0,1
PHENYLTHIOTRI-n-BUTYLTIN,377.15,1,CCCC[Sn](CCCC)(CCCC)Sc1ccccc1,gelest_tin,0,1
TETRAALLYLTIN,348.15,1,C=CC[Sn](CC=C)(CC=C)CC=C,gelest_tin,0,1
TETRABUTYLDILAURYLDISTANNOXANE,504.15,1,CCCCCCCCCCCC[Sn](CCCC)(CCCCCCCCCCCC)O[Sn](CCCC)(CCCC)CCCC,gelest_tin,0,1
TETRA-n-BUTYLTIN,274.15,1,CCCC[Sn](CCCC)(CCCC)CCCC,gelest_tin,0,1
TETRA-n-BUTYLTIN,380.15,1,CCCC[Sn](CCCC)(CCCC)CCCC,gelest_tin,0,1
TETRAETHYLTIN,326.15,1,CC[Sn](CC)(CC)CC,gelest_tin,0,1
TETRAKIS(DIETHYLAMINO)TIN,312.15,1,CCN(CC)[Sn](N(CC)CC)(N(CC)CC)N(CC)CC,gelest_tin,0,1
TETRAMETHYLTIN,261.15,1,C[Sn](C)(C)C,gelest_tin,0,1
TETRAMETHYLTIN,261.15,1,C[Sn](C)(C)C,gelest_tin,0,1
TETRA-n-OCTYLTIN,367.15,1,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,gelest_tin,0,1
TETRAPHENYLTIN,504.15,1,c1ccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,gelest_tin,0,1
TETRAVINYLTIN,313.15,1,C=C[Sn](C=C)(C=C)C=C,gelest_tin,0,1
2-THIENYLTRI-n-BUTYLTIN,379.15,1,CCCC[Sn](CCCC)(CCCC)c1cccs1,gelest_tin,0,1
TRI-n-BUTYLACETOXYTIN,393.15,1,CCCCC(CCCC)(CCCC)C(=O)O[Sn],gelest_tin,0,1
TRI-n-BUTYLCHLOROTIN,393.15,1,CCCC[Sn](Cl)(CCCC)CCCC,gelest_tin,0,1
TRI-n-BUTYLETHOXYTIN,377.15,1,CCCC[Sn](CCCC)(CCCC)OCC,gelest_tin,0,1
TRI-n-BUTYLIODOTIN,386.15,1,CCCC[Sn](I)(CCCC)CCCC,gelest_tin,0,1
TRI-n-BUTYLMETHOXYTIN,371.15,1,CCCC[Sn](CCCC)(CCCC)OC,gelest_tin,0,1
TRI-n-BUTYLTIN HYDRIDE,313.15,1,CCCC[SnH](CCCC)CCCC,gelest_tin,0,1
TRICYCLOHEXYLTIN HYDRIDE,378.15,1,C1CCC([SnH](C2CCCCC2)C2CCCCC2)CC1,gelest_tin,0,1
TRIETHYLBROMOTIN,372.15,1,CC[Sn](Br)(CC)CC,gelest_tin,0,1
TRIMETHYLCHLOROTIN,370.15,1,C[Sn](C)(C)Cl,gelest_tin,0,1
TRIPHENYLCHLOROTIN,343.15,1,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,gelest_tin,0,1
Dibutyldichlorotin,628.15,1,CCCC[Sn](Cl)(Cl)CCCC,hazardous materials,0,1
tetraethyltin,326,1,CC[Sn](CC)(CC)CC,katritzky07,0,1
